date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,304.8,304.8,298.0,300.0,0.37,51165.0,15330971.4,2022,21.72,12.01,13.57,13.6
2022-01-03,306.0,306.0,300.0,300.2,0.07,81164.0,24460931.9,2022,21.72,12.01,13.57,13.6
2022-01-04,302.0,326.0,300.0,326.0,8.59,193324.0,59970602.7,2022,21.72,12.01,13.57,13.6
2022-01-05,326.0,331.0,317.0,320.1,-1.81,145665.0,47039324.3,2022,21.72,12.01,13.57,13.6
2022-01-06,320.0,332.0,315.0,330.0,3.09,95091.0,30792775.6,2022,21.72,12.01,13.57,13.6
2022-01-09,334.9,337.0,329.9,332.0,0.61,142518.0,47520922.4,2022,21.72,12.01,13.57,13.6
2022-01-10,333.4,338.0,325.0,327.0,-1.51,127855.0,42138686.8,2022,21.72,12.01,13.57,13.6
2022-01-11,327.0,330.0,324.0,326.0,-0.31,98026.0,32122798.8,2022,21.72,12.01,13.57,13.6
2022-01-12,326.0,331.0,321.0,321.0,-1.53,88713.0,28950262.6,2022,21.72,12.01,13.57,13.6
2022-01-13,320.0,326.0,320.0,326.0,1.56,65532.0,21168651.4,2022,21.72,12.01,13.57,13.6
2022-01-16,328.0,338.0,328.0,331.9,1.81,189009.0,62662712.9,2022,21.72,12.01,13.57,13.6
2022-01-17,335.0,338.0,331.2,335.0,0.93,124003.0,41510315.3,2022,21.72,12.01,13.57,13.6
2022-01-18,335.0,350.0,334.2,340.0,1.49,163491.0,55947728.1,2022,21.72,12.01,13.57,13.6
2022-01-19,346.8,352.0,340.0,342.9,0.85,116982.0,40382520.7,2022,21.72,12.01,13.57,13.6
2022-01-20,344.0,344.0,338.0,341.0,-0.55,72596.0,24696670.6,2022,21.72,12.01,13.57,13.6
2022-01-23,347.8,372.0,347.8,364.0,6.74,468687.0,169609793.3,2022,21.72,12.01,13.57,13.6
2022-01-24,371.2,371.2,349.9,355.0,-2.47,320833.0,114629238.6,2022,21.72,12.01,13.57,13.6
